epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6418,3.92492,3.81191,3.39511,0.47098,0.06236,0.04437,0.01335,3.37526,3.33026,3.06803,0.00332732,0.00332732,0.00332732
2,77.8886,2.52912,2.10537,1.95001,0.36293,0.27503,0.26182,0.11392,2.27568,1.88716,1.89169,0.00666024,0.00666024,0.00666024
3,115.782,2.05983,1.58244,1.58865,0.4662,0.39425,0.41887,0.20435,1.87256,1.47977,1.60156,0.00999154,0.00999154,0.00999154
4,153.297,1.84721,1.30809,1.4442,0.59688,0.44728,0.49529,0.24951,1.79625,1.30817,1.52152,0.0099945,0.0099945,0.0099945
5,190.926,1.70643,1.14336,1.35377,0.68193,0.50115,0.5594,0.29461,1.64091,1.09446,1.41611,0.00999023,0.00999023,0.00999023
6,228.557,1.62081,1.05075,1.30257,0.66363,0.50993,0.57788,0.29229,1.66608,1.09661,1.41798,0.00998474,0.00998474,0.00998474
7,265.958,1.56607,0.99257,1.27509,0.71748,0.5706,0.64399,0.33074,1.60465,1.02796,1.37263,0.00997803,0.00997803,0.00997803
8,303.698,1.52717,0.94382,1.25411,0.67663,0.54369,0.60686,0.3113,1.60198,1.03499,1.36803,0.00997011,0.00997011,0.00997011
9,341.335,1.49769,0.90882,1.23479,0.70617,0.55784,0.63574,0.33529,1.55567,0.97427,1.34411,0.00996097,0.00996097,0.00996097
10,378.986,1.47029,0.88313,1.21655,0.77385,0.61013,0.68522,0.35198,1.57232,0.91041,1.32539,0.00995062,0.00995062,0.00995062
11,416.67,1.45448,0.86336,1.20584,0.72084,0.60105,0.6596,0.34774,1.55115,0.92723,1.32864,0.00993906,0.00993906,0.00993906
12,454.281,1.43306,0.84489,1.19904,0.74754,0.55376,0.63829,0.32435,1.59207,1.02827,1.34231,0.00992629,0.00992629,0.00992629
13,491.739,1.41646,0.82881,1.19089,0.72713,0.63389,0.69572,0.36857,1.50194,0.8844,1.30405,0.00991232,0.00991232,0.00991232
14,529.54,1.40734,0.81663,1.18445,0.75802,0.62633,0.70716,0.36865,1.523,0.88293,1.30479,0.00989715,0.00989715,0.00989715
15,567.32,1.39944,0.80912,1.17866,0.73399,0.64898,0.70807,0.36763,1.53206,0.87879,1.29871,0.00988079,0.00988079,0.00988079
16,605.156,1.38104,0.79116,1.16675,0.75225,0.64744,0.71608,0.37812,1.48267,0.85193,1.28673,0.00986323,0.00986323,0.00986323
17,642.927,1.36685,0.77778,1.1635,0.76763,0.63298,0.71557,0.37646,1.49841,0.86047,1.28889,0.00984449,0.00984449,0.00984449
18,680.67,1.36693,0.77662,1.16634,0.76034,0.65511,0.72772,0.39019,1.45181,0.8384,1.26894,0.00982456,0.00982456,0.00982456
19,718.299,1.35834,0.76442,1.15974,0.75514,0.65429,0.7186,0.37704,1.49062,0.84491,1.28094,0.00980345,0.00980345,0.00980345
20,756.177,1.35842,0.75922,1.15537,0.76494,0.62153,0.70365,0.36289,1.50041,0.8444,1.28139,0.00978118,0.00978118,0.00978118
