epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9413,3.84897,3.79129,3.38718,0.49785,0.06948,0.04958,0.01579,3.18775,3.00056,2.95979,0.00332732,0.00332732,0.00332732
2,72.2711,2.5184,2.13022,1.9567,0.25632,0.1257,0.11289,0.04481,2.82719,2.975,2.56105,0.00666024,0.00666024,0.00666024
3,107.598,2.05585,1.58914,1.59783,0.4854,0.36871,0.40035,0.19275,1.90782,1.64811,1.63697,0.00999154,0.00999154,0.00999154
4,142.448,1.84078,1.30714,1.44584,0.56326,0.45435,0.48675,0.24222,1.79022,1.28463,1.51399,0.0099945,0.0099945,0.0099945
5,177.307,1.7021,1.14291,1.35699,0.65129,0.52456,0.58156,0.30183,1.62236,1.10323,1.42002,0.00999023,0.00999023,0.00999023
6,212.47,1.61792,1.04953,1.30413,0.66605,0.50915,0.57503,0.29559,1.6322,1.10973,1.42067,0.00998474,0.00998474,0.00998474
7,247.28,1.56475,0.9918,1.27866,0.70732,0.54051,0.6189,0.31483,1.64729,1.04566,1.40113,0.00997803,0.00997803,0.00997803
8,282.369,1.52762,0.94395,1.25719,0.68736,0.57245,0.63636,0.33044,1.59803,1.00002,1.36955,0.00997011,0.00997011,0.00997011
9,317.249,1.4955,0.90829,1.23619,0.70525,0.57809,0.64314,0.33595,1.54974,0.95958,1.34905,0.00996097,0.00996097,0.00996097
10,352.103,1.47099,0.88199,1.21982,0.73017,0.61479,0.68229,0.3584,1.53696,0.9084,1.32044,0.00995062,0.00995062,0.00995062
11,387.165,1.45594,0.86373,1.20849,0.72957,0.61337,0.68279,0.3592,1.5288,0.91424,1.3233,0.00993906,0.00993906,0.00993906
12,422.102,1.43314,0.84788,1.20159,0.76538,0.60846,0.68725,0.36293,1.5098,0.91002,1.31075,0.00992629,0.00992629,0.00992629
13,457.074,1.41821,0.82944,1.19351,0.78436,0.60945,0.69423,0.36396,1.51395,0.90518,1.30682,0.00991232,0.00991232,0.00991232
14,492.401,1.40707,0.81765,1.18532,0.73182,0.6349,0.70037,0.36814,1.5043,0.88398,1.29716,0.00989715,0.00989715,0.00989715
15,527.292,1.40225,0.80937,1.18134,0.72266,0.5973,0.68127,0.35931,1.52879,0.90026,1.30335,0.00988079,0.00988079,0.00988079
16,562.116,1.38048,0.79187,1.16911,0.76456,0.6394,0.71524,0.38137,1.47029,0.86204,1.28261,0.00986323,0.00986323,0.00986323
