epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0369,3.90454,3.83867,3.41507,0.46417,0.11848,0.07628,0.02277,3.10949,2.77895,2.71916,0.00332732,0.00332732,0.00332732
2,66.6627,2.53846,2.11945,1.98632,0.45448,0.222,0.23579,0.10103,2.39893,2.1069,2.01856,0.00666024,0.00666024,0.00666024
3,98.8337,2.08325,1.59191,1.63553,0.48877,0.38626,0.41726,0.19502,1.93929,1.4996,1.67448,0.00999154,0.00999154,0.00999154
4,130.918,1.8703,1.31397,1.48544,0.64691,0.47135,0.53141,0.26453,1.75447,1.23118,1.52665,0.0099945,0.0099945,0.0099945
5,163.059,1.72698,1.14579,1.3869,0.59307,0.47249,0.50693,0.25944,1.74001,1.27761,1.52013,0.00999023,0.00999023,0.00999023
6,195.053,1.64088,1.05464,1.33292,0.65336,0.47599,0.52949,0.27047,1.68761,1.19548,1.45741,0.00998474,0.00998474,0.00998474
7,227.153,1.5854,0.99485,1.30374,0.69612,0.57504,0.63677,0.32956,1.60887,1.01865,1.40274,0.00997803,0.00997803,0.00997803
8,259.265,1.54881,0.94976,1.28013,0.74277,0.58125,0.65925,0.34,1.5925,0.99838,1.38007,0.00997011,0.00997011,0.00997011
9,291.411,1.51958,0.91905,1.26017,0.70434,0.55722,0.63387,0.32986,1.56152,0.99085,1.37089,0.00996097,0.00996097,0.00996097
10,323.409,1.49137,0.89099,1.24094,0.75883,0.62576,0.69488,0.36573,1.54586,0.90971,1.3442,0.00995062,0.00995062,0.00995062
11,355.526,1.47503,0.87329,1.2279,0.72739,0.59777,0.66526,0.34352,1.55962,0.94386,1.35453,0.00993906,0.00993906,0.00993906
12,387.607,1.4524,0.85702,1.22124,0.74614,0.60305,0.68431,0.36009,1.52142,0.90869,1.32746,0.00992629,0.00992629,0.00992629
13,419.723,1.43723,0.83797,1.21182,0.75581,0.621,0.69997,0.36723,1.52845,0.90231,1.33075,0.00991232,0.00991232,0.00991232
14,451.847,1.4284,0.82741,1.20612,0.74384,0.61499,0.6954,0.36551,1.531,0.90617,1.32452,0.00989715,0.00989715,0.00989715
15,483.875,1.41585,0.81737,1.19795,0.76265,0.63353,0.71552,0.37383,1.49943,0.88418,1.30794,0.00988079,0.00988079,0.00988079
16,516.096,1.40002,0.80167,1.18775,0.75292,0.64754,0.718,0.3774,1.49155,0.86051,1.30195,0.00986323,0.00986323,0.00986323
17,548.268,1.38554,0.78705,1.18351,0.77447,0.63181,0.72042,0.38161,1.48605,0.85758,1.29567,0.00984449,0.00984449,0.00984449
18,580.413,1.38655,0.78898,1.18736,0.77121,0.64578,0.72255,0.37299,1.51831,0.86504,1.31534,0.00982456,0.00982456,0.00982456
19,612.442,1.37794,0.77601,1.17877,0.77196,0.65262,0.72631,0.3842,1.47624,0.84782,1.29177,0.00980345,0.00980345,0.00980345
20,644.715,1.37579,0.7695,1.1743,0.75929,0.62716,0.70683,0.37009,1.50185,0.8598,1.29416,0.00978118,0.00978118,0.00978118
21,676.813,1.35953,0.76203,1.16639,0.76638,0.64432,0.7304,0.38358,1.47771,0.84678,1.28587,0.00975773,0.00975773,0.00975773
22,708.872,1.35567,0.75746,1.16386,0.76776,0.63509,0.72038,0.37358,1.50139,0.84888,1.29577,0.00973312,0.00973312,0.00973312
23,740.946,1.34703,0.751,1.16192,0.78734,0.65691,0.73952,0.39271,1.45825,0.82193,1.27541,0.00970736,0.00970736,0.00970736
24,773.018,1.34521,0.74185,1.15806,0.75826,0.64578,0.72314,0.38163,1.4921,0.836,1.29091,0.00968045,0.00968045,0.00968045
25,805.035,1.3403,0.73813,1.15346,0.77625,0.66406,0.74413,0.38764,1.47219,0.81804,1.2802,0.00965239,0.00965239,0.00965239
26,837.165,1.33274,0.73047,1.15208,0.77052,0.67557,0.7443,0.39035,1.47357,0.80831,1.27439,0.0096232,0.0096232,0.0096232
27,869.446,1.33504,0.73202,1.15125,0.76103,0.66484,0.73142,0.38818,1.47231,0.80695,1.28012,0.00959289,0.00959289,0.00959289
28,901.695,1.32417,0.72347,1.14641,0.77147,0.65345,0.73075,0.38638,1.47297,0.80033,1.28148,0.00956145,0.00956145,0.00956145
29,933.951,1.31696,0.71601,1.13934,0.76748,0.67294,0.74372,0.39295,1.47168,0.80382,1.27846,0.00952889,0.00952889,0.00952889
30,966.283,1.31762,0.71638,1.14446,0.75403,0.67492,0.7412,0.38797,1.47447,0.80252,1.27782,0.00949524,0.00949524,0.00949524
31,998.535,1.30552,0.70702,1.13877,0.77926,0.67226,0.74685,0.39552,1.47571,0.79237,1.27672,0.00946048,0.00946048,0.00946048
32,1030.85,1.30485,0.70593,1.13435,0.78301,0.6697,0.74232,0.3889,1.4609,0.78453,1.26809,0.00942464,0.00942464,0.00942464
33,1063.04,1.3013,0.70207,1.13465,0.7697,0.68384,0.7575,0.40291,1.43839,0.77368,1.25622,0.00938772,0.00938772,0.00938772
34,1095.36,1.30195,0.69875,1.12965,0.7828,0.68532,0.75199,0.40232,1.43854,0.77189,1.26064,0.00934973,0.00934973,0.00934973
35,1127.53,1.29359,0.69639,1.13087,0.78519,0.68158,0.75732,0.40492,1.45134,0.76934,1.26276,0.00931067,0.00931067,0.00931067
36,1159.76,1.28797,0.68716,1.12377,0.7761,0.67062,0.74465,0.39849,1.45006,0.77842,1.26198,0.00927057,0.00927057,0.00927057
37,1191.88,1.29434,0.69624,1.13079,0.77925,0.68998,0.75896,0.40184,1.44816,0.77128,1.26412,0.00922942,0.00922942,0.00922942
38,1224.1,1.28112,0.68129,1.12083,0.78084,0.67854,0.75188,0.40455,1.43087,0.76936,1.25446,0.00918725,0.00918725,0.00918725
39,1256.16,1.28154,0.68215,1.12024,0.79388,0.67798,0.76068,0.40515,1.44154,0.76412,1.25945,0.00914405,0.00914405,0.00914405
40,1288.3,1.28047,0.68046,1.12203,0.78915,0.69688,0.76276,0.40484,1.44764,0.75646,1.26421,0.00909984,0.00909984,0.00909984
41,1320.42,1.27591,0.6782,1.12258,0.77106,0.69156,0.76228,0.40541,1.45114,0.76113,1.26059,0.00905463,0.00905463,0.00905463
42,1352.58,1.26944,0.67217,1.1185,0.7951,0.6982,0.76735,0.40744,1.43869,0.74719,1.25742,0.00900844,0.00900844,0.00900844
43,1384.73,1.27179,0.67195,1.11803,0.77678,0.67889,0.75806,0.40142,1.44678,0.75262,1.2607,0.00896127,0.00896127,0.00896127
44,1416.81,1.27284,0.67165,1.11902,0.78149,0.69697,0.7642,0.41017,1.43356,0.75566,1.25438,0.00891313,0.00891313,0.00891313
45,1448.89,1.26367,0.66532,1.11237,0.77281,0.69669,0.76639,0.40743,1.43394,0.74823,1.25522,0.00886404,0.00886404,0.00886404
46,1481.02,1.26374,0.6649,1.11319,0.77181,0.69014,0.75788,0.40774,1.42919,0.74838,1.25204,0.00881401,0.00881401,0.00881401
47,1512.99,1.25629,0.66151,1.10898,0.75642,0.69747,0.75679,0.40549,1.43313,0.74852,1.25215,0.00876305,0.00876305,0.00876305
48,1545.02,1.25794,0.65927,1.10975,0.76778,0.69886,0.76383,0.40941,1.43866,0.75105,1.25126,0.00871117,0.00871117,0.00871117
49,1577.13,1.25701,0.65899,1.10446,0.77541,0.70031,0.76747,0.41079,1.43681,0.74276,1.25506,0.00865839,0.00865839,0.00865839
50,1609.27,1.25149,0.65501,1.11027,0.77814,0.70302,0.76416,0.40617,1.43659,0.73682,1.25518,0.00860473,0.00860473,0.00860473
51,31.5296,1.24186,0.64726,1.10467,0.80081,0.68285,0.76053,0.40633,1.43495,0.73861,1.25356,0.00855018,0.00855018,0.00855018
52,62.9527,1.24856,0.65207,1.10138,0.79316,0.69118,0.76489,0.40893,1.4275,0.73711,1.24618,0.00849477,0.00849477,0.00849477
53,94.4802,1.24924,0.65114,1.10443,0.77053,0.70468,0.7682,0.41391,1.42507,0.73552,1.2426,0.00843851,0.00843851,0.00843851
54,126.278,1.24254,0.64753,1.10242,0.78016,0.70834,0.77166,0.41417,1.42263,0.73477,1.24158,0.00838141,0.00838141,0.00838141
55,158.115,1.24625,0.64669,1.10179,0.77358,0.70772,0.76645,0.40886,1.43441,0.74758,1.24959,0.00832349,0.00832349,0.00832349
56,190.156,1.23562,0.64481,1.09513,0.78336,0.69779,0.77564,0.41054,1.43229,0.73156,1.24842,0.00826477,0.00826477,0.00826477
57,221.913,1.23542,0.6404,1.09729,0.781,0.71078,0.77396,0.41463,1.42445,0.73196,1.24427,0.00820525,0.00820525,0.00820525
58,253.841,1.23691,0.64086,1.09837,0.77227,0.70969,0.76524,0.41104,1.42745,0.7328,1.24771,0.00814495,0.00814495,0.00814495
59,285.772,1.23227,0.63715,1.09447,0.78169,0.70339,0.77056,0.41587,1.42313,0.72927,1.24507,0.00808389,0.00808389,0.00808389
