epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5103,4.14892,4.23857,3.70307,0.42335,0.06888,0.03003,0.00763,3.40034,3.0613,3.13075,0.00332732,0.00332732,0.00332732
2,67.114,2.81339,2.39514,2.18,0.59342,0.12805,0.12771,0.04679,2.84379,2.6649,2.36419,0.00666024,0.00666024,0.00666024
3,99.2777,2.22903,1.75973,1.71038,0.40852,0.28299,0.29629,0.13815,2.11937,2.16376,1.79151,0.00999154,0.00999154,0.00999154
4,131.31,2.00907,1.47605,1.54699,0.49825,0.40578,0.43225,0.20608,1.89617,1.44412,1.60937,0.0099945,0.0099945,0.0099945
5,163.347,1.85661,1.2941,1.44324,0.60831,0.42108,0.47462,0.23376,1.80516,1.32261,1.53861,0.00999023,0.00999023,0.00999023
6,195.386,1.7619,1.1853,1.38483,0.5938,0.43319,0.4897,0.24442,1.78159,1.34088,1.50863,0.00998474,0.00998474,0.00998474
7,227.423,1.69735,1.11801,1.35018,0.613,0.52317,0.5651,0.28639,1.67661,1.13991,1.43304,0.00997803,0.00997803,0.00997803
8,259.481,1.65003,1.06325,1.32152,0.62107,0.51448,0.56434,0.29095,1.6535,1.10355,1.41297,0.00997011,0.00997011,0.00997011
9,291.477,1.61538,1.0233,1.29712,0.66564,0.53493,0.59593,0.31283,1.59105,1.05419,1.38353,0.00996097,0.00996097,0.00996097
10,323.527,1.58505,0.99273,1.27612,0.68676,0.56713,0.62833,0.32462,1.59304,1.02322,1.36826,0.00995062,0.00995062,0.00995062
11,355.555,1.56718,0.97121,1.26344,0.70881,0.57155,0.63618,0.32812,1.57684,1.01872,1.35884,0.00993906,0.00993906,0.00993906
12,387.546,1.53789,0.94755,1.25116,0.69226,0.54001,0.6226,0.32293,1.5909,1.01996,1.35521,0.00992629,0.00992629,0.00992629
13,419.461,1.52135,0.92538,1.24077,0.73469,0.58367,0.65795,0.33477,1.58398,0.97108,1.33752,0.00991232,0.00991232,0.00991232
14,451.517,1.50906,0.91246,1.23147,0.75127,0.57655,0.66106,0.33928,1.56844,0.98394,1.34052,0.00989715,0.00989715,0.00989715
15,483.538,1.5015,0.90328,1.22613,0.73718,0.5754,0.65827,0.34184,1.55163,0.96143,1.32505,0.00988079,0.00988079,0.00988079
